index,avg_max_temp,precipitation,relative_humidity,avg_min_temp,avg_rx1day,avg_days_r20mm
1952-10,29.85,39.48,56.61,19.69,9.05,0.17
1952-11,27.51,127.64,74.25,19.42,18.04,0.49
1952-12,27.49,104.5,75.94,19.47,12.48,0.19
1953-01,28.16,92.13,70.47,19.3,17.36,0.49
1953-02,28.66,103.65,71.24,20.07,17.44,0.43
1953-03,28.17,176.02,76.76,19.89,24.6,1.41
1953-04,27.38,210.32,80.47,19.97,26.99,1.83
1953-05,26.65,156.6,79.15,19.64,20.18,1.07
1953-06,27.14,64.76,68.01,18.73,9.95,0.39
1953-07,27.0,44.57,62.47,18.24,7.1,0.27
1953-08,27.5,40.32,59.81,18.5,6.23,0.25
1953-09,29.23,24.72,55.23,18.81,5.43,0.1
1953-10,29.35,79.22,62.98,19.8,13.43,0.38
1953-11,26.96,203.97,79.21,19.55,23.24,1.3
1953-12,26.81,151.35,79.54,19.11,19.99,0.85
1954-01,29.53,40.99,59.77,18.98,9.28,0.27
1954-02,31.05,36.27,54.94,20.49,10.59,0.3
1954-03,31.16,58.82,58.19,21.32,13.53,0.27
1954-04,28.11,182.4,76.23,20.22,24.65,1.32
1954-05,28.11,139.34,70.61,19.9,18.76,1.18
1954-06,27.68,49.04,61.07,18.81,8.33,0.26
1954-07,27.24,54.79,60.28,18.57,8.47,0.35
1954-08,28.0,55.42,57.79,18.49,7.14,0.41
1954-09,29.28,45.63,53.41,18.72,7.3,0.34
1954-10,29.87,40.24,55.28,19.64,10.53,0.18
1954-11,29.54,35.05,59.66,20.04,5.64,0.01
1954-12,29.24,59.37,61.11,19.31,12.8,0.21
1955-01,29.74,57.92,60.86,20.13,10.95,0.13
1955-02,31.82,41.04,48.66,20.32,12.3,0.35
1955-03,31.6,62.04,52.94,21.08,15.05,0.51
1955-04,29.41,115.44,66.89,20.53,20.32,0.67
1955-05,28.21,79.34,67.22,19.78,14.44,0.51
1955-06,28.09,26.95,57.02,18.87,4.64,0.12
1955-07,27.89,48.41,57.74,18.6,7.31,0.31
1955-08,28.43,69.9,58.42,18.59,9.46,0.47
1955-09,29.39,61.97,56.34,19.08,8.37,0.43
1955-10,30.25,36.49,55.53,19.85,8.61,0.11
1955-11,30.17,39.88,56.61,19.99,9.55,0.17
1955-12,29.91,65.82,58.94,20.14,13.05,0.2
1956-01,29.42,74.46,59.2,19.71,17.37,0.53
1956-02,31.89,20.64,47.57,20.56,5.5,0.12
1956-03,31.7,51.22,55.24,21.28,12.23,0.2
1956-04,28.74,164.55,71.03,20.37,25.3,1.27
1956-05,28.29,92.99,67.41,19.87,11.22,0.51
1956-06,28.21,37.55,59.33,19.03,6.88,0.14
1956-07,27.64,45.33,57.48,17.94,8.22,0.27
1956-08,28.15,68.54,59.35,18.59,8.9,0.43
1956-09,29.74,29.15,52.28,18.63,5.68,0.18
1956-10,30.39,31.94,53.57,19.61,5.99,0.02
1956-11,29.72,49.15,59.22,20.25,11.48,0.18
1956-12,28.61,63.13,65.95,19.51,11.59,0.08
1957-01,30.58,74.42,58.52,19.67,15.61,0.57
1957-02,31.48,22.58,46.83,19.6,9.05,0.13
1957-03,30.59,123.99,62.99,20.41,29.94,1.33
1957-04,28.37,174.17,77.53,20.11,25.96,1.17
1957-05,27.48,152.73,76.66,19.83,22.35,0.97
1957-06,28.38,38.29,62.73,18.87,7.9,0.19
1957-07,28.2,32.99,57.31,18.57,4.94,0.21
1957-08,28.38,39.22,56.01,18.5,6.27,0.26
1957-09,29.55,15.03,56.76,18.5,3.55,0.05
1957-10,30.02,40.49,60.11,19.78,7.5,0.08
1957-11,28.48,110.25,71.18,19.67,21.67,0.64
1957-12,28.59,88.85,70.38,19.21,13.96,0.32
1958-01,30.46,45.7,62.3,20.06,11.82,0.22
1958-02,30.75,89.5,62.14,19.81,23.47,0.97
1958-03,32.0,44.18,55.11,20.93,11.7,0.23
1958-04,30.05,132.92,68.7,20.82,25.2,1.23
1958-05,28.52,74.86,68.63,19.9,14.83,0.53
1958-06,28.41,49.09,59.46,19.37,8.03,0.38
1958-07,27.05,69.8,61.46,18.88,10.76,0.64
1958-08,28.4,47.76,57.89,18.41,6.18,0.35
1958-09,29.89,28.16,52.84,18.71,5.78,0.16
1958-10,30.28,25.79,52.58,19.58,5.85,0.18
1958-11,30.27,44.51,59.85,20.02,7.39,0.11
1958-12,28.56,120.89,72.27,19.45,22.32,0.76
1959-01,30.89,39.95,59.31,20.11,12.3,0.23
1959-02,31.77,65.05,56.94,20.24,17.22,0.45
1959-03,31.42,98.77,60.49,20.45,24.83,1.05
1959-04,30.3,117.67,66.2,20.85,22.69,0.87
1959-05,29.42,117.79,68.8,20.54,17.2,0.89
1959-06,29.05,36.71,60.43,18.95,8.85,0.23
1959-07,27.63,59.24,62.9,18.55,9.99,0.45
1959-08,28.41,55.79,60.22,18.52,9.61,0.37
1959-09,29.72,39.98,57.22,18.75,6.83,0.26
1959-10,30.04,60.64,59.87,19.59,14.45,0.43
1959-11,29.46,99.65,68.33,20.08,21.14,0.63
1959-12,29.92,49.72,62.82,19.45,10.97,0.13
1960-01,30.92,38.39,54.61,19.72,8.13,0.12
1960-02,31.83,28.55,53.25,20.09,6.53,0.15
1960-03,30.35,157.23,66.82,20.34,29.82,1.38
1960-04,29.19,125.75,73.48,20.24,20.65,0.74
1960-05,29.33,72.36,66.94,19.92,12.04,0.36
1960-06,29.43,36.04,60.0,19.13,8.18,0.29
1960-07,28.01,60.89,61.91,18.62,9.52,0.47
1960-08,28.56,63.32,60.03,18.51,7.89,0.6
1960-09,29.46,45.24,58.01,18.7,7.6,0.34
1960-10,29.56,55.35,61.46,19.69,12.46,0.21
1960-11,29.38,56.25,65.93,19.43,13.21,0.23
1960-12,29.65,65.84,66.67,19.23,11.52,0.11
1961-01,31.5,24.32,54.94,19.34,5.39,0.02
1961-02,31.64,46.38,54.96,20.11,11.37,0.21
1961-03,31.82,85.23,59.32,20.83,15.81,0.42
1961-04,30.1,114.39,70.52,20.75,19.42,0.61
1961-05,30.52,69.05,64.72,20.88,14.44,0.41
1961-06,29.65,60.34,61.21,19.51,11.0,0.46
1961-07,28.34,69.32,63.21,19.09,10.26,0.46
1961-08,27.99,80.52,63.38,19.18,13.1,0.77
1961-09,28.6,57.26,63.06,19.12,12.52,0.4
1961-10,28.48,105.72,70.2,19.73,17.11,0.46
1961-11,26.34,237.81,81.7,19.41,35.74,2.24
1961-12,28.3,94.9,72.46,18.83,17.56,0.52
1962-01,29.09,51.05,60.92,19.01,14.18,0.3
1962-02,31.46,18.95,50.53,20.14,4.79,0.08
1962-03,30.46,71.32,62.44,21.01,13.2,0.41
1962-04,29.44,124.12,70.67,20.74,19.52,0.69
1962-05,27.81,137.85,71.26,19.79,23.67,1.45
1962-06,28.43,43.17,60.33,18.93,7.59,0.22
1962-07,28.22,44.08,58.67,18.55,7.14,0.21
1962-08,28.9,31.08,56.13,18.74,4.75,0.15
1962-09,29.65,39.41,54.64,19.21,5.77,0.26
1962-10,29.67,50.95,58.63,19.65,9.0,0.24
1962-11,28.54,97.27,68.13,19.7,15.93,0.41
1962-12,28.62,67.45,66.24,19.47,12.68,0.24
1963-01,30.1,41.99,55.43,19.87,8.58,0.18
1963-02,30.92,47.73,55.27,20.43,12.03,0.31
1963-03,30.95,100.78,62.29,20.59,17.87,0.65
1963-04,28.72,201.18,73.31,20.44,26.92,1.71
1963-05,28.15,137.49,71.92,20.11,22.2,1.15
1963-06,28.73,34.65,62.03,19.06,6.76,0.15
1963-07,28.34,45.27,61.44,18.42,6.82,0.21
1963-08,28.36,60.54,61.28,18.32,8.27,0.46
1963-09,29.54,25.23,57.97,18.37,5.01,0.05
1963-10,30.11,44.82,60.8,19.97,6.86,0.05
1963-11,27.87,144.54,73.96,19.64,24.26,0.91
1963-12,27.28,131.22,76.62,19.42,19.63,0.71
1964-01,29.72,39.57,62.35,19.5,10.08,0.11
1964-02,31.52,46.09,55.25,20.8,11.65,0.3
1964-03,31.86,67.26,59.22,21.66,14.31,0.39
1964-04,29.23,174.25,73.33,20.79,27.48,1.41
1964-05,29.25,58.19,64.46,20.19,9.66,0.39
1964-06,28.67,38.32,61.7,19.26,6.68,0.13
1964-07,27.45,66.95,62.01,18.5,9.4,0.48
1964-08,27.26,61.16,63.67,18.21,11.02,0.45
1964-09,28.67,51.39,59.12,18.64,6.88,0.37
1964-10,28.6,68.46,64.69,18.96,10.31,0.31
1964-11,29.59,51.44,62.48,19.37,10.57,0.13
1964-12,28.07,65.9,67.66,19.03,9.85,0.11
1965-01,30.24,29.19,56.47,18.96,7.56,0.09
1965-02,32.31,10.94,47.39,19.47,2.78,0.04
1965-03,32.06,49.96,54.69,20.72,11.24,0.25
1965-04,29.91,145.08,68.54,20.63,21.23,0.95
1965-05,29.68,56.59,63.18,20.06,11.41,0.39
1965-06,28.91,22.14,58.45,18.35,4.35,0.04
1965-07,28.3,40.12,59.21,18.49,5.12,0.19
1965-08,28.75,34.04,57.01,18.51,5.68,0.16
1965-09,29.87,14.97,55.57,18.73,2.68,0.01
1965-10,29.33,65.76,62.44,19.75,13.26,0.36
1965-11,28.13,111.76,73.41,19.71,14.7,0.32
1965-12,29.72,83.35,65.37,19.55,16.73,0.51
1966-01,31.79,37.64,53.96,20.55,7.17,0.07
1966-02,32.1,40.88,54.4,21.46,9.65,0.24
1966-03,30.54,134.24,66.77,21.03,23.01,0.95
1966-04,29.26,136.9,71.79,20.72,22.67,0.93
1966-05,29.96,46.77,64.46,20.68,9.49,0.14
1966-06,29.09,35.19,60.04,19.51,6.86,0.14
1966-07,28.84,51.77,59.58,19.18,7.72,0.32
1966-08,29.01,60.13,59.76,18.79,8.45,0.37
1966-09,29.82,37.73,57.53,19.21,6.39,0.21
1966-10,29.91,45.72,59.38,19.87,7.99,0.11
1966-11,28.93,61.84,65.8,19.79,12.65,0.29
1966-12,31.16,18.13,52.69,19.81,3.8,
1967-01,31.75,9.43,46.71,19.94,2.34,0.01
1967-02,32.71,6.11,46.7,20.89,2.12,0.01
1967-03,32.71,40.11,52.65,21.73,8.88,0.28
1967-04,29.14,163.8,74.18,20.46,24.71,1.19
1967-05,28.58,158.85,73.78,20.25,20.84,1.34
1967-06,28.52,56.91,65.21,19.45,9.48,0.26
1967-07,27.98,76.31,64.64,18.92,10.57,0.52
1967-08,28.45,39.93,60.87,18.68,8.04,0.19
1967-09,29.35,38.92,58.76,18.77,8.85,0.22
1967-10,28.81,106.78,67.75,19.61,16.79,0.52
1967-11,27.65,182.61,78.0,19.47,22.81,1.06
1967-12,29.74,18.85,59.28,18.49,4.76,0.06
1968-01,31.72,6.03,45.6,18.62,1.7,0.01
1968-02,30.64,94.81,59.23,20.23,22.34,0.98
1968-03,28.79,167.67,74.02,19.63,24.72,1.21
1968-04,27.94,179.16,76.53,20.13,25.52,1.41
1968-05,27.79,108.48,74.84,19.64,15.98,0.57
1968-06,27.82,43.24,65.94,18.84,10.46,0.15
1968-07,27.42,40.32,62.56,18.41,6.06,0.24
1968-08,28.27,37.16,58.77,18.25,5.01,0.22
1968-09,30.43,16.08,53.2,18.58,3.21,0.06
1968-10,30.0,51.9,61.57,19.98,9.57,0.15
1968-11,28.52,105.64,70.09,19.8,19.75,0.6
1968-12,28.8,99.84,70.94,18.98,18.13,0.67
1969-01,30.67,41.2,59.19,19.83,11.3,0.27
1969-02,30.33,44.75,59.61,20.13,13.51,0.18
1969-03,30.87,68.49,64.55,20.79,17.01,0.38
1969-04,32.07,19.54,57.61,21.41,3.63,0.02
1969-05,29.87,94.97,66.96,20.47,19.66,0.62
1969-06,29.33,31.76,58.97,19.17,5.71,0.22
1969-07,28.67,33.91,58.94,18.86,5.26,0.21
1969-08,28.81,26.4,57.58,18.08,4.33,0.11
1969-09,30.22,32.12,55.56,18.84,7.25,0.19
1969-10,30.54,58.73,62.12,19.75,11.08,0.12
1969-11,29.77,75.47,66.04,19.94,11.48,0.19
1969-12,30.78,21.16,57.26,19.71,4.55,0.01
1970-01,30.86,73.04,58.98,20.52,15.19,0.5
1970-02,32.7,11.71,50.3,20.44,2.73,0.05
1970-03,31.12,114.11,60.89,21.27,26.14,1.27
1970-04,29.27,141.55,72.73,20.74,23.03,0.84
1970-05,29.57,96.72,67.3,20.4,15.85,0.69
1970-06,28.74,35.88,61.47,19.33,7.03,0.19
1970-07,27.98,32.18,60.79,18.62,6.91,0.14
1970-08,28.22,42.72,58.92,18.98,5.4,0.26
1970-09,29.51,33.28,56.04,18.5,6.05,0.21
1970-10,30.12,37.69,57.38,19.8,9.33,0.19
1970-11,30.18,50.03,60.56,19.76,9.93,0.17
1970-12,30.85,30.49,53.59,20.11,6.87,0.07
1971-01,31.7,28.33,47.82,20.2,7.74,0.19
1971-02,32.74,10.52,43.01,19.79,3.73,0.04
1971-03,32.48,25.63,47.33,20.63,7.83,0.07
1971-04,29.92,152.24,69.39,20.69,23.48,1.36
1971-05,28.69,132.48,70.61,19.99,16.57,0.91
1971-06,28.14,52.4,61.77,19.03,8.53,0.32
1971-07,27.49,55.11,62.71,18.62,7.39,0.3
1971-08,27.97,68.92,62.17,18.32,8.37,0.38
1971-09,29.29,36.58,57.99,18.66,6.27,0.22
1971-10,29.49,52.19,60.09,19.35,12.3,0.34
1971-11,29.29,68.55,64.22,19.43,13.48,0.24
1971-12,29.47,72.26,61.34,19.31,13.69,0.45
1972-01,30.62,32.05,56.26,19.84,6.56,0.05
1972-02,31.13,35.93,53.17,20.68,7.78,0.26
1972-03,32.19,25.16,50.96,21.02,5.51,0.06
1972-04,31.69,55.16,58.57,21.52,9.36,0.15
1972-05,29.49,92.51,67.71,20.76,14.19,0.41
1972-06,28.97,65.04,61.85,19.61,11.5,0.5
1972-07,28.51,41.39,60.74,19.37,6.23,0.25
1972-08,29.12,49.7,58.83,19.46,6.49,0.33
1972-09,30.45,43.67,58.17,19.91,8.61,0.18
1972-10,29.76,126.03,67.19,20.36,22.74,0.97
1972-11,28.41,167.09,75.35,19.76,22.28,1.12
1972-12,30.29,59.54,60.55,20.39,10.81,0.25
1973-01,31.92,41.57,51.68,20.81,11.23,0.34
1973-02,32.98,46.21,50.13,21.82,12.44,0.48
1973-03,33.81,13.09,47.38,22.12,2.64,
1973-04,31.95,82.8,61.52,22.14,15.28,0.36
1973-05,30.43,79.29,64.18,20.95,12.51,0.5
1973-06,29.54,37.55,59.25,20.04,6.71,0.2
1973-07,28.78,42.15,59.14,19.09,7.08,0.22
1973-08,28.55,49.45,58.8,19.12,6.38,0.35
1973-09,30.16,51.97,56.87,19.52,9.49,0.38
1973-10,30.63,40.39,57.64,20.28,9.73,0.17
1973-11,29.33,105.02,67.38,20.21,17.66,0.48
1973-12,30.45,27.01,54.27,19.58,6.51,0.04
1974-01,31.46,18.26,48.8,20.15,4.23,0.02
1974-02,32.38,9.36,46.24,20.92,2.29,0.01
1974-03,30.67,101.05,58.14,21.01,23.62,0.95
1974-04,29.7,123.73,71.97,20.9,18.5,0.71
1974-05,29.3,76.68,66.17,20.37,12.8,0.4
1974-06,28.85,44.46,61.35,19.72,7.78,0.22
1974-07,27.76,59.39,63.26,18.95,9.68,0.31
1974-08,28.57,49.19,58.84,19.06,9.39,0.34
1974-09,29.19,33.65,55.87,18.95,5.37,0.22
1974-10,30.52,25.67,53.85,19.97,5.28,0.13
1974-11,29.51,64.69,62.87,19.84,12.56,0.17
1974-12,30.82,50.15,54.72,20.54,9.42,0.14
1975-01,31.49,26.18,49.95,20.37,7.74,0.07
1975-02,32.33,12.72,47.85,20.87,3.43,0.03
1975-03,32.6,43.8,51.91,21.74,9.71,0.22
1975-04,30.43,115.73,66.21,21.02,19.15,0.87
1975-05,29.39,90.95,66.87,20.52,18.51,0.62
1975-06,27.94,56.95,64.62,19.43,12.83,0.4
1975-07,27.48,76.45,64.08,18.84,13.78,0.64
1975-08,27.37,53.99,61.08,18.76,7.68,0.44
1975-09,28.85,61.64,59.82,19.11,10.17,0.49
1975-10,29.37,50.73,60.15,19.64,10.15,0.22
1975-11,29.65,66.07,63.29,19.61,12.18,0.17
1975-12,30.12,48.65,59.64,19.64,9.15,0.2
1976-01,31.04,19.72,51.54,19.65,6.36,0.05
1976-02,31.04,37.28,54.48,20.63,6.09,0.15
1976-03,32.34,36.87,51.68,21.16,8.19,0.13
1976-04,30.14,108.92,65.88,20.88,17.47,0.54
1976-05,29.55,88.23,65.74,20.8,12.34,0.45
1976-06,29.09,50.3,60.65,19.69,11.43,0.31
1976-07,28.06,58.62,61.5,19.11,8.44,0.32
1976-08,28.46,45.21,58.21,18.85,6.44,0.35
1976-09,29.54,33.49,57.56,19.14,8.39,0.14
1976-10,30.81,35.39,56.3,19.99,8.16,0.09
1976-11,29.84,94.84,66.68,20.06,17.94,0.38
1976-12,29.82,83.98,65.59,19.82,15.74,0.28
1977-01,30.07,85.1,64.67,20.33,16.04,0.44
1977-02,32.01,45.53,52.11,20.74,10.48,0.35
1977-03,31.53,103.36,60.01,21.32,19.19,0.49
1977-04,28.5,233.72,77.29,20.75,31.0,2.21
1977-05,28.95,111.6,71.88,20.37,19.6,0.73
1977-06,28.79,48.53,63.05,19.62,9.43,0.22
1977-07,27.65,61.35,63.57,19.23,8.76,0.4
1977-08,28.49,46.51,60.66,18.58,8.33,0.27
1977-09,29.71,36.35,58.25,19.26,8.52,0.17
1977-10,30.43,98.55,62.22,20.33,22.52,0.84
1977-11,27.7,193.35,78.32,19.77,28.47,1.34
1977-12,28.75,95.99,71.27,19.7,16.59,0.44
1978-01,30.11,72.53,61.46,19.44,17.52,0.5
1978-02,30.37,82.14,63.22,20.28,18.4,0.51
1978-03,29.51,167.78,73.64,20.76,28.97,1.31
1978-04,29.15,112.55,73.71,20.75,16.18,0.49
1978-05,29.03,59.06,66.59,19.71,11.87,0.37
1978-06,28.67,41.04,62.3,19.51,6.49,0.24
1978-07,27.39,50.88,63.52,18.95,7.11,0.3
1978-08,28.16,48.17,61.25,19.0,6.49,0.29
1978-09,29.94,43.88,57.58,19.18,9.84,0.35
1978-10,29.64,73.78,63.95,20.09,15.23,0.38
1978-11,28.94,108.77,71.31,19.66,15.98,0.42
1978-12,28.73,88.53,71.13,19.68,18.62,0.46
1979-01,29.42,120.09,70.27,20.12,28.64,0.9
1979-02,30.19,83.41,70.48,20.66,18.29,0.54
1979-03,31.23,91.32,65.11,20.83,20.73,0.51
1979-04,29.68,135.31,73.99,21.02,25.65,1.01
1979-05,29.0,102.14,70.17,20.51,20.97,0.72
1979-06,28.1,65.09,66.36,19.66,14.28,0.51
1979-07,27.9,40.36,63.88,18.95,7.37,0.21
1979-08,28.44,39.55,61.81,19.1,7.43,0.25
1979-09,29.98,32.41,58.57,19.56,6.42,0.14
1979-10,30.86,53.27,59.91,20.46,11.35,0.16
1979-11,29.8,108.88,68.12,20.26,21.14,0.61
1979-12,30.13,76.99,67.16,20.42,13.25,0.22
1980-01,31.46,29.49,54.53,19.62,8.88,0.18
1980-02,32.09,13.56,52.94,20.35,2.98,0.01
1980-03,32.83,34.48,52.67,21.06,10.26,0.21
1980-04,31.31,132.66,66.03,21.39,27.94,1.05
1980-05,29.64,132.99,68.76,20.99,21.63,1.21
1980-06,29.31,35.9,59.55,19.66,5.6,0.2
1980-07,28.58,25.14,58.65,18.94,4.11,0.1
1980-08,28.36,38.89,60.58,18.78,7.24,0.2
1980-09,30.4,21.58,56.12,19.25,4.18,0.08
1980-10,31.63,34.75,54.85,20.39,7.59,0.07
1980-11,29.65,107.65,69.41,20.25,16.6,0.42
1980-12,30.86,29.92,57.17,20.1,6.21,0.06
1981-01,32.2,12.89,51.08,20.1,2.73,0.01
1981-02,32.83,27.94,50.21,20.78,8.34,0.14
1981-03,30.72,172.11,66.2,21.1,29.84,1.33
1981-04,28.98,134.6,75.37,20.73,20.91,0.77
1981-05,28.66,89.25,70.83,20.25,16.44,0.5
1981-06,28.54,34.88,63.87,19.17,6.96,0.15
1981-07,27.28,57.7,65.23,18.96,9.21,0.33
1981-08,28.52,52.24,62.16,19.44,7.86,0.33
1981-09,29.62,49.59,59.91,19.49,8.2,0.37
1981-10,30.71,58.12,60.59,20.5,11.24,0.18
1981-11,30.36,72.8,64.49,20.32,12.93,0.18
1981-12,30.41,87.97,62.16,20.0,18.79,0.46
1982-01,31.63,29.81,56.6,20.44,5.0,0.03
1982-02,32.77,27.72,52.53,20.87,7.8,0.11
1982-03,33.01,36.26,52.49,21.23,10.03,0.12
1982-04,29.45,140.11,72.42,21.1,21.4,0.81
1982-05,28.95,120.23,71.38,20.85,16.44,0.76
1982-06,29.09,33.96,62.78,19.9,6.14,0.11
1982-07,28.37,37.09,61.88,19.25,6.34,0.17
1982-08,28.33,44.36,60.55,19.23,5.69,0.26
1982-09,29.87,37.56,59.36,19.7,6.93,0.15
1982-10,28.81,114.8,70.67,19.99,18.74,0.44
1982-11,28.5,167.95,75.9,20.07,22.97,1.02
1982-12,28.99,75.32,71.42,19.74,17.23,0.36
1983-01,31.04,38.36,59.78,20.2,9.05,0.09
1983-02,32.24,55.19,58.62,21.28,15.06,0.27
1983-03,33.49,25.98,54.61,22.34,5.95,0.09
1983-04,31.86,89.54,64.61,22.06,15.39,0.38
1983-05,30.16,75.42,67.66,21.29,11.32,0.3
1983-06,29.36,58.24,64.49,20.45,9.88,0.36
1983-07,28.59,47.21,63.29,19.52,7.35,0.25
1983-08,28.45,82.92,64.5,19.55,11.28,0.71
1983-09,29.57,48.95,59.57,19.47,7.76,0.32
1983-10,30.42,81.27,60.97,20.53,16.33,0.57
1983-11,30.38,80.33,64.4,20.47,13.36,0.27
1983-12,30.25,79.88,61.42,20.22,14.33,0.36
1984-01,31.72,15.22,49.17,19.68,3.56,0.04
1984-02,32.49,12.62,46.64,19.65,4.17,0.01
1984-03,32.7,26.57,51.89,21.2,5.53,0.05
1984-04,31.4,114.92,64.07,21.71,20.28,0.67
1984-05,30.73,30.23,57.99,20.86,4.81,0.04
1984-06,29.35,26.7,56.98,19.47,5.56,0.14
1984-07,27.75,42.54,60.63,19.01,7.09,0.23
1984-08,28.36,36.98,57.51,18.79,5.67,0.24
1984-09,30.02,33.21,54.93,19.21,8.46,0.17
1984-10,29.95,62.68,60.84,20.22,10.8,0.21
1984-11,28.47,131.37,72.57,19.95,20.94,0.78
1984-12,29.33,77.82,65.46,19.53,19.85,0.49
1985-01,31.17,34.38,57.19,20.08,8.69,0.15
1985-02,31.7,53.91,53.55,20.75,12.94,0.4
1985-03,31.49,114.29,59.59,21.1,27.81,1.05
1985-04,28.95,162.85,73.68,20.93,25.1,1.24
1985-05,28.48,101.87,70.31,20.33,16.51,0.62
1985-06,28.0,38.72,63.17,19.3,7.71,0.19
1985-07,27.66,45.11,62.15,18.72,7.75,0.23
1985-08,28.04,36.24,58.31,18.7,4.97,0.26
1985-09,29.77,29.71,56.73,19.23,5.49,0.09
1985-10,30.3,38.26,56.87,20.04,8.46,0.11
1985-11,29.61,90.97,65.62,20.27,15.82,0.43
1985-12,30.44,55.12,60.52,20.09,9.93,0.14
1986-01,31.64,25.55,51.79,19.97,5.32,0.12
1986-02,32.82,14.09,49.78,20.81,3.49,0.09
1986-03,31.84,73.99,59.3,21.07,14.81,0.33
1986-04,29.58,159.13,70.88,21.22,24.99,1.23
1986-05,28.79,95.5,70.34,20.65,17.77,0.58
1986-06,27.96,66.5,64.29,19.54,10.78,0.48
1986-07,27.68,48.93,60.8,18.56,6.36,0.31
1986-08,28.73,35.23,57.29,18.44,6.49,0.23
1986-09,29.75,30.68,56.12,19.19,5.26,0.2
1986-10,30.79,46.72,57.88,20.52,10.02,0.19
1986-11,29.76,107.33,66.69,20.58,18.27,0.54
1986-12,29.12,123.88,69.18,20.25,22.52,0.9
1987-01,30.88,46.55,56.66,20.19,12.69,0.22
1987-02,32.34,25.61,51.69,20.77,7.66,0.16
1987-03,33.0,49.33,54.53,21.94,12.49,0.4
1987-04,30.9,112.52,66.61,21.57,24.49,0.98
1987-05,29.73,143.27,68.94,21.23,20.44,1.07
1987-06,28.46,80.95,64.81,19.89,16.73,0.67
1987-07,29.01,27.08,59.66,19.28,6.54,0.14
1987-08,28.83,42.5,60.16,19.34,8.36,0.32
1987-09,30.86,17.2,54.64,20.04,3.29,0.05
1987-10,31.77,18.32,53.45,21.19,3.36,0.03
1987-11,30.78,79.62,61.79,21.25,17.02,0.55
1987-12,31.74,28.01,56.69,20.76,7.35,0.03
1988-01,31.95,46.25,56.76,21.57,9.42,0.12
1988-02,32.93,13.0,50.23,21.85,3.52,0.01
1988-03,32.81,84.05,56.4,22.4,20.6,0.68
1988-04,29.95,183.22,72.12,21.73,24.39,1.38
1988-05,30.01,66.35,63.91,21.0,11.31,0.55
1988-06,28.69,45.29,64.16,20.03,9.05,0.18
1988-07,28.02,53.93,62.42,19.64,8.04,0.39
1988-08,28.5,50.91,61.46,19.63,7.23,0.29
1988-09,29.19,57.32,60.49,19.53,9.98,0.44
1988-10,30.67,52.12,59.01,20.38,10.52,0.22
1988-11,29.59,81.82,65.42,20.17,14.53,0.39
1988-12,29.54,82.93,64.37,19.89,14.84,0.38
1989-01,30.35,57.51,58.87,20.24,12.34,0.32
1989-02,31.57,43.59,54.11,20.16,11.28,0.19
1989-03,31.76,82.3,58.66,21.14,18.6,0.48
1989-04,29.16,135.29,70.9,20.67,23.64,0.88
1989-05,28.93,91.8,69.16,20.33,18.66,0.58
1989-06,28.72,28.64,60.61,19.38,5.39,0.14
1989-07,27.72,57.46,62.12,19.16,8.49,0.47
1989-08,28.1,38.81,60.1,18.89,5.94,0.22
1989-09,29.76,39.74,58.56,19.8,8.45,0.27
1989-10,29.93,51.25,61.11,20.41,9.99,0.22
1989-11,28.96,119.52,71.16,20.47,20.01,0.58
